last_update:2014-00-00 00:00
position	url	type	google_plus_name	google_plus_short_url
1	http://www.xovi.de/xovilichter/	organic		
2	http://www.dynapso.de/xovilichter/	organic	Nicolas Sacotte	http://dynap.so/21C
3	http://www.habbo.cx/xovilichter	organic		
4	http://ronny-marx.de/xovilichter/	organic	Ronny Marx	http://dynap.so/9M4
4	http://www.stock-world.de/nachrichten/ausland/DGAP-News-OMSAG-nutzt-Xovilichter-SEO-Contest-als-Ideenplattform-fuer-eigenen-Fortschritt-deutsch-n5721349.html	news		
5	http://aus.gerech.net/xovilichter/	organic	Ingo Henze	http://dynap.so/y
6	http://www.xovilichter-smx.de/	organic		
7	http://www.google-gamer.de/xovilichter/	organic	Julian Raab	http://dynap.so/9Nh
8	https://www.deutsche-mikroinvest.de/xovilichter	organic		
9	http://event-xovilichter.de/	organic	Marco Götze	http://dynap.so/a1R
10	http://xovilichter-73.de/xovilichter-keyword-challenge/	organic		
11	http://www.xovilichter-koeln.de/	organic	Kristian Fischer	http://dynap.so/a3z
12	http://www.contentking.de/neuer-seo-contest-xovilichter/	organic	Nicolas Sacotte	http://dynap.so/21C
13	http://www.xovilichter-news.de/	organic		
14	http://xtremegn.de/webdesign/xovilichter/	organic	Tommy Weber	http://dynap.so/a1f
15	http://seocouch.de/xovilichter-seo-contest-bringt-licht-ins-dunkle/	organic	Heiko Stiegert	http://dynap.so/9wh
16	http://www.syntax-media.de/xovilichter/	organic	Carsten Zedler	http://dynap.so/a4c
17	http://www.xovilichter-wettkampf.de/	organic		
18	http://www.xovilichterr.de/	organic		
19	http://www.omsag.de/xovilichter/	organic	Blanka Szczebak	http://dynap.so/1cd
20	http://www.reknova.de/xovilichter	organic	Daniel Bruckhaus	http://dynap.so/9T3
21	http://www.suchmaschinenmonitor.de/xovilichter	organic	Julian Roedig	http://dynap.so/a5o
22	http://ebolgo.com/xovilichter-in-koeln/	organic	Gregor Hennig	http://dynap.so/a2I
23	http://www.xovilichter-seo.de/	organic	Arno Münzer	http://dynap.so/9P8
24	http://www.xovilichter.name/	organic		
25	http://www.xovilichterblog.de/	organic	Alex Buchanan	http://dynap.so/a1s
26	http://www.xovilichter-wettbewerb.de/	organic	Enrico Schuetze	http://dynap.so/1hD
27	http://www.domfolio.de/xovilichter/	organic	Jens Peterssen	http://dynap.so/ez
28	http://xovilichter.complex-berlin.de/	organic	Harald Hildebrandt	http://dynap.so/m4
29	http://dynamite-domains.de/	organic		
30	http://www.geschichte-oesterreich.com/xovilichter	organic	Bernhard Angeler	http://dynap.so/VZ
31	http://www.xovilichter-oms.de/	organic	Mario Porst	http://dynap.so/1eQ
32	http://www.xovilichter.in/	organic		
33	http://www.wrel.de/xovilichter/	organic		
34	https://www.facebook.com/xovilichter2014	organic		
35	http://www.die-infoseiten.de/xovilichter/	organic		
36	http://xovilichter-goettingen.de/	organic		
37	http://www.quickdict.de/xovilichter/	organic		
38	https://www.xovilichter-shop.de/	organic		
39	http://www.xovilichter-event.de/	organic		
40	http://www.seekport.de/web/xovilichter.com	organic		
40	http://www.youtube.com/watch?v=TcuKKhG8NOY	youtube.com		
41	http://xovilichter-contest.de/	organic	Julian Riefsdahl	http://dynap.so/a1F
42	http://xovilichter-xovilichter.de/	organic		
43	http://www.xovilicht.com/	organic		
44	https://twitter.com/#!/search/#xovilichter	organic		
45	http://www.xovilichter-omsag.de/	organic		
46	http://www.seokratie.de/xovilichter-teilnehmeranalyse/	organic		
47	http://www.tobias-fox.de/seo/xovilichter	organic	Tobias Fox	http://dynap.so/WU
48	http://www.illerseo.de/xovilichter/serenade	organic	Steffen Pahl	http://dynap.so/a1i
49	http://netgrade.de/xovilichter/	organic	Robert Kolloch	http://dynap.so/c4
50	http://www.xovilichter-challenge.de/	organic		
51	http://t3n.de/news/seo-wettbewerb-xovilichter-542744/	organic	Lars Budde	http://dynap.so/9Eu
52	http://my-websites.de/xovilichter-das-wohl-groesste-seo-gewinnspiel-aller-zeiten/	organic		
53	http://www.onvista.de/news/dgap-news-omsag-nutzt-xovilichter-seo-contest-als-ideenplattform-fuer-eigenen-fortschritt-deutsch-985919	organic		
54	http://www.webspurt.de/xovilichter/	organic		
